OrderedAtDate ,CategoryGroup,Product,Category,Quantity,Unit Price,shippingStatus,DeliveryDate,CustomerType,OrderChannel,Sales
12/1/20 17:37,Baby,Molfix Twin,Infant Care,2.0,7000.0,delivered,12/2/20 12:01,General Trade,Mobile App,14000.0
12/1/20 17:37,Baby,Molfix Twin,Infant Care,1.0,7000.0,delivered,12/2/20 12:01,General Trade,Mobile App,7000.0
12/1/20 17:37,Baby,Molfix Twin,Infant Care,1.0,7000.0,delivered,12/2/20 12:01,General Trade,Mobile App,7000.0
12/1/20 16:20,Baby,Molfix Twin,Infant Care,1.0,7000.0,delivered,12/2/20 12:08,General Trade,Whatsapp,7000.0
12/1/20 16:20,Baby,Molfix Twin,Infant Care,1.0,7000.0,delivered,12/2/20 12:08,General Trade,Whatsapp,7000.0
12/1/20 14:59,Baby,My Boy Eldorin Infant Formula,Baby Food,1.0,16800.0,delivered,12/2/20 19:32,General Trade,Mobile App,16800.0
12/1/20 14:59,Baby,NAN Infant Formula,Baby Food,1.0,24350.0,delivered,12/2/20 19:32,General Trade,Mobile App,24350.0
12/2/20 16:34,Baby,Molfix Jumbo,Infant Care,1.0,12200.0,delivered,12/3/20 12:41,General Trade,Whatsapp,12200.0
12/2/20 16:34,Baby,Molfix Twin,Infant Care,1.0,7000.0,delivered,12/3/20 12:41,General Trade,Whatsapp,7000.0
12/2/20 11:55,Baby,Molfix Twin,Infant Care,5.0,7000.0,delivered,12/3/20 17:07,General Trade,Mobile App,35000.0
12/2/20 11:55,Baby,Molfix Twin,Infant Care,5.0,7000.0,delivered,12/3/20 17:07,General Trade,Mobile App,35000.0
12/2/20 11:55,Baby,Molfix Twin,Infant Care,5.0,7000.0,delivered,12/3/20 17:07,General Trade,Mobile App,35000.0
12/2/20 11:56,Baby,Molfix Twin,Infant Care,5.0,7000.0,delivered,12/3/20 17:07,General Trade,Mobile App,35000.0
12/1/20 20:14,Baby,My Boy Eldorin Infant Formula,Baby Food,1.0,16800.0,delivered,12/3/20 17:59,Modern Trade,Mobile App,16800.0
12/3/20 15:21,Baby,Molfix Twin,Infant Care,1.0,7480.0,delivered,12/4/20 20:31,General Trade,Whatsapp,7480.0
12/4/20 13:45,Baby,My Boy Eldorin Infant Formula,Baby Food,1.0,16800.0,delivered,12/5/20 11:18,General Trade,Mobile App,16800.0
12/4/20 11:31,Baby,Molfix Jumbo,Infant Care,1.0,13100.0,delivered,12/5/20 18:43,General Trade,Whatsapp,13100.0
12/4/20 17:28,Baby,NAN Infant Formula,Baby Food,1.0,24350.0,delivered,12/6/20 23:21,General Trade,Whatsapp,24350.0
12/4/20 17:28,Baby,Molfix Jumbo,Infant Care,2.0,13100.0,delivered,12/6/20 23:21,General Trade,Whatsapp,26200.0
12/4/20 17:28,Baby,Molfix Small,Infant Care,5.0,4700.0,delivered,12/6/20 23:21,General Trade,Whatsapp,23500.0
12/4/20 17:28,Baby,Molfix Twin,Infant Care,3.0,7480.0,delivered,12/6/20 23:21,General Trade,Whatsapp,22440.0
12/4/20 17:28,Baby,Molfix Twin,Infant Care,3.0,7480.0,delivered,12/6/20 23:21,General Trade,Whatsapp,22440.0
12/4/20 17:28,Baby,Molfix Twin,Infant Care,2.0,7480.0,delivered,12/6/20 23:21,General Trade,Whatsapp,14960.0
12/4/20 17:28,Baby,My Boy Eldorin Infant Formula,Baby Food,1.0,16800.0,delivered,12/6/20 23:21,General Trade,Whatsapp,16800.0
12/5/20 16:30,Baby,My Boy Eldorin Infant Formula,Baby Food,1.0,16800.0,delivered,12/8/20 7:55,General Trade,Whatsapp,16800.0
12/5/20 18:21,Baby,My Boy Eldorin Infant Formula,Baby Food,1.0,16800.0,delivered,12/8/20 7:55,General Trade,Whatsapp,16800.0
12/7/20 17:20,Baby,Molfix Small,Infant Care,1.0,4700.0,delivered,12/8/20 13:57,General Trade,Mobile App,4700.0
12/7/20 15:05,Baby,Molfix Small,Infant Care,1.0,4700.0,delivered,12/8/20 19:01,General Trade,Whatsapp,4700.0
12/7/20 15:05,Baby,Molfix Small,Infant Care,1.0,4700.0,delivered,12/8/20 19:01,General Trade,Whatsapp,4700.0
12/9/20 15:08,Baby,My Boy Eldorin Infant Formula,Baby Food,2.0,16800.0,delivered,12/10/20 10:03,Wholesale,Whatsapp,33600.0
12/9/20 13:26,Baby,Molfix Small,Infant Care,1.0,4700.0,delivered,12/10/20 13:31,General Trade,Whatsapp,4700.0
12/10/20 15:09,Baby,Molfix Jumbo,Infant Care,1.0,13100.0,delivered,12/11/20 12:37,General Trade,Whatsapp,13100.0
12/10/20 15:09,Baby,Molfix Jumbo,Infant Care,1.0,13100.0,delivered,12/11/20 12:37,General Trade,Whatsapp,13100.0
12/10/20 15:09,Baby,Molfix Twin,Infant Care,1.0,7480.0,delivered,12/11/20 12:37,General Trade,Whatsapp,7480.0
12/10/20 15:09,Baby,My Boy Eldorin Infant Formula,Baby Food,1.0,16800.0,delivered,12/11/20 12:37,General Trade,Whatsapp,16800.0
12/10/20 16:05,Baby,My Boy Eldorin Infant Formula,Baby Food,2.0,16800.0,delivered,12/11/20 14:03,General Trade,Mobile App,33600.0
12/11/20 13:58,Baby,My Boy Eldorin Infant Formula,Baby Food,1.0,16800.0,delivered,12/12/20 11:51,Wholesale,Whatsapp,16800.0
12/11/20 17:57,Baby,SMA GOLD,Baby Food,0.5,35000.0,delivered,12/12/20 19:54,General Trade,Whatsapp,17500.0
12/13/20 17:54,Baby,Molfix Small,Infant Care,1.0,4700.0,delivered,12/14/20 15:50,General Trade,Whatsapp,4700.0
12/13/20 17:54,Baby,Molfix Small,Infant Care,1.0,4700.0,delivered,12/14/20 15:50,General Trade,Whatsapp,4700.0
12/12/20 11:26,Baby,SMA GOLD,Baby Food,1.0,35000.0,delivered,12/14/20 17:22,Wholesale,Mobile App,35000.0
12/14/20 11:53,Baby,Molfix Small,Infant Care,10.0,4700.0,delivered,12/15/20 12:29,General Trade,Mobile App,47000.0
12/14/20 11:53,Baby,Molfix Small,Infant Care,3.0,4700.0,delivered,12/15/20 12:29,General Trade,Mobile App,14100.0
